,Infected,Recovered,Hospitalized,Critical Care
0,0.0,0.0,0.0,0.0
1,0.09749235098700156,0.001120616858432871,0.009085557380811585,8.854856475374405e-05
2,0.1654253708160907,0.005229178316373755,0.03115537626202531,0.0006087739299703728
3,0.21198845383528714,0.013069212163088909,0.06013219447675924,0.0017596718025719605
4,0.24265343044264256,0.025007478394424628,0.0918423714869945,0.0035619963061111555
5,0.26240361540828505,0.04113841756182755,0.12354907845858126,0.005927111050103645
6,0.2754953507844956,0.06139250410847962,0.15367329282955502,0.008710602569287544
7,0.28540315554146656,0.08562205424938556,0.18151879923123154,0.011751476480095188
8,0.2948871461980078,0.1136666368516222,0.20702937965741003,0.01489871518429461
9,0.30613017548004756,0.14540186891540055,0.23059182347130772,0.018027555720737023
10,0.3209078890624458,0.18077610454778856,0.2528890286412886,0.021047934622825018
11,0.34076621629070186,0.2198395185562223,0.2748006676668993,0.023907384862773592
12,0.3671952692090518,0.2627698518214235,0.29734594737990605,0.026590327394717082
13,0.4017969187699562,0.30989870675349196,0.32166215530864034,0.029115335412875795
14,0.4464508180253412,0.3617420578427102,0.34901329920209884,0.03153159130467738
15,0.5034888726705115,0.41903871737176507,0.3808248968995722,0.033915455223952645
16,0.5758916938821848,0.48280070352963794,0.41874312931706725,0.03636783202608943
17,0.6675248813914423,0.5543804298859568,0.46471899811961703,0.03901286131894766
18,0.7834365193432657,0.6355607994627833,0.5211207869466578,0.041998353555687165
19,0.9302432901858301,0.7286762614609799,0.5908810748807283,0.0454983652999848
20,1.1166401396632932,0.8367757639969523,0.6776877235695442,0.04971832940437685
21,1.3540801797137019,0.9638423193785749,0.7862324764826208,0.05490323733058458
22,1.6576854132286183,1.1150895001754808,0.9225357236766263,0.061349526918105635
23,2.0474721531585627,1.2973627342661815,1.0943721674512104,0.06942154006738345
24,2.550002823376477,1.519683755574048,1.311830954139931,0.07957373260907273
25,3.2006176200858523,1.7939911523444294,1.5880547966882013,0.0923802356011321
26,4.046454330384037,2.1361504461009657,1.940217208236803,0.1085739449164691
27,5.150541079269389,2.567334951874958,2.390816947378159,0.1290980529471548
28,6.597351661851431,3.1159186457354338,2.9693942698635176,0.15517396038072256
29,8.500358738035391,3.8200764727068988,3.7148095429675134,0.1883908210615913
30,11.012315197519959,4.731365266392915,4.678269991087123,0.2308237837968636
31,14.339266868992325,5.919664237299838,5.927351657843408,0.28519027787743606
32,18.7596823416605,7.4800056297096695,7.551347903930526,0.3550569178632177
33,24.650587167248688,9.542034163231376,9.668381085693785,0.4451136725976663
34,32.523324991566405,12.283131037602878,12.434863550535125,0.5615376287527797
35,43.072534128177125,15.94664677299308,16.058082409128666,0.7124759361585142
36,57.24329677587653,20.867265991800473,20.812940889279048,0.9086874565616213
37,76.32332387560486,27.50634297017024,27.06423373228712,1.1643959995948223
38,102.0695727295337,36.50116966860121,35.29627735975334,1.4984251540950024
39,136.88242762830248,48.73375377332797,46.152332202436185,1.9357089594038535
40,184.04537440204214,65.42689000159287,60.48703827628331,2.5093030946029105
41,248.05520902535534,88.27847654908928,79.43616764905293,3.263064331239886
42,335.07718602024426,119.64939901400395,104.50940117974459,4.255221371575774
43,453.572752003928,162.82646809437097,137.71370644724013,5.563135512868998
44,615.1657433312096,222.39051598238612,181.71740388846192,7.28965017930997
45,835.8377026681679,304.7318082936288,240.06828275416322,9.57156275143261
46,1137.5773669936368,418.7717018751647,317.48344705484345,12.59093056494672
47,1550.655767718354,576.9729012345514,420.234309917358,16.59016285121549
48,2116.760952485759,796.7529452264442,556.6574652363993,21.892164610708658
49,2893.310424730907,1102.460473144335,737.8318622724756,28.92722243758739
50,3959.367377479225,1528.1346196544343,978.4744912222648,38.26886255855582
51,5423.725649146367,2121.35072342196,1298.1218872100626,50.68162470017663
52,7435.893514483017,2948.566090888982,1722.6821580218946,67.18460104738138
53,10200.888113988934,4102.522621373995,2286.461050296084,89.13569295514941
54,13998.91422733444,5712.443155385704,3034.783479540436,118.342851251446
55,19211.052781604492,7957.969825051815,4027.3401412111853,157.20996697659186
56,26351.864809666233,11088.015567732744,5342.375839739328,208.92635106168007
57,36108.96624606719,15445.869630440158,7081.77307580571,277.7092322568411
58,49387.58366428659,21501.89124291336,9376.925656772717,369.107369494697
59,67353.9380467971,29894.692467860597,12394.971255002501,490.36862080479744
60,91463.79172394577,41480.407412619075,16344.34556544852,650.8615268505223
61,123450.73828281861,57386.849616042746,21477.628512646206,862.5157763047454
62,165233.5145131364,79064.26242043287,28088.208500039742,1140.201951991467
63,218688.85575872104,108316.57986846456,36495.61558574388,1501.9027768136993
64,285241.64013853477,147287.6847386699,47013.27109619415,1968.440480590319
