,Infected,Recovered,Hospitalized,Critical Care
0,0.0,0.0,0.0,0.0
1,0.3250670095633474,0.0017597714289538738,0.034503464847098236,4.247052561898412e-05
2,0.4753948384495962,0.010832434307219172,0.10734457892952436,0.00027036033961063674
3,0.5432083327599804,0.029854313930173026,0.19083754093749022,0.0007279836746631456
4,0.5738552165329107,0.05924459856518965,0.2729172548022787,0.0013815264591033685
5,0.5975758493358821,0.09855302716347228,0.34991983074652827,0.0021700461922252983
6,0.6338312562568066,0.14723914912832678,0.423152865472717,0.0030329302257186136
7,0.6967582298046685,0.20512772853652683,0.4968164912330706,0.003922783880053073
8,0.8004950668884934,0.27269906512849573,0.5771837264877339,0.0048105701965580824
9,0.9644829818578393,0.35135468272242887,0.6728598880253802,0.005687563292587143
10,1.2199298876672309,0.44378596487964334,0.7960884889284816,0.0065669751327893785
11,1.6197352891407295,0.5545903604177451,0.9653979762597626,0.007487291639131842
12,2.255962789191626,0.6913514341743117,1.2104331735121407,0.008519453407519447
13,3.292520487681613,0.8665626758385648,1.5807797492053508,0.009781168172230018
14,5.028196780989693,1.101112286172763,2.1624377982691043,0.011464375384575141
15,8.02097104317414,1.4307247339698144,3.1093191629332346,0.013887575818865405
16,13.338016587304963,1.918136328397983,4.704844517763828,0.017596539017357728
17,23.067602958455268,2.6766354638498937,7.484935250906539,0.023561788053085942
18,41.38442913447692,3.9165836114321855,12.488298573445153,0.03357482976210419
19,76.79853457522553,6.03926154678187,21.77450532639616,0.05106264120859521
20,146.96027329994448,9.829768874416901,39.51249212913215,0.08280229746691699
21,289.02641772675855,16.8601738739569,74.29654372825664,0.14261199267687813
22,582.1859367283618,30.344194261785127,144.12429007575525,0.25945767442863626
23,1196.8388320375288,56.97057179860033,287.17826480696533,0.49556885558010333
24,2502.1804016071064,110.87205309172654,585.2939890545539,0.9875027716212406
25,5301.303563011519,222.27324272665533,1215.1539942595127,2.040247094796964
26,11342.328863706634,456.3997520167489,2559.84056032105,4.344436984988353
27,24416.662892341188,954.826883432991,5450.550350070712,9.479284931045337
28,52661.59640207708,2025.4609510304706,11683.516812803391,21.074103238191423
29,113139.52925908241,4335.795566634593,25095.131891494715,47.46080392577931
30,239880.28116494374,9315.913738416319,53667.4078563839,107.56713862895047
31,493671.50138208165,19946.355794620667,113112.003602647,243.23622894666823
32,957984.8265886708,42090.013732491956,230955.33158873438,541.7067508320629
33,1677904.4017662716,86048.67652659096,444819.5115788939,1164.9825211256289
34,2530597.349362539,166615.87923921028,782259.181584899,2356.534151535912
35,3211801.3652939983,299040.5633150745,1225670.8920766304,4369.383990714895
36,3485050.2465381785,492018.07787171466,1705049.540568234,7319.045550036348
37,3352365.495060785,743689.348738772,2137332.0449371072,11083.32616869399
38,2952228.1632920797,1043332.0297470398,2465186.3016658425,15334.786858878384
39,2425905.4168433324,1375633.2183532787,2665419.019666726,19651.415445629405
40,1871970.5442652015,1724400.5214319627,2739947.0071195406,23621.96476201093
41,1348821.241958801,2074846.2776132047,2704779.198024406,26912.66397268284
42,886945.1628989043,2414701.046700407,2582035.703519498,29297.13317824116
43,499190.67076896003,2734577.892628055,2395063.320779276,30660.645143810314
44,187714.51854822342,3027906.1579580186,2165714.0780371116,30988.975335872765
45,-51557.64217948392,3290639.147507642,1912985.7711711908,30349.276557795136
46,-226089.4375363135,3520860.2262417427,1652488.4069083515,28867.97600001872
47,-344919.4851240147,3718361.3915284984,1396398.754842437,26708.907005458193
48,-417506.66246647167,3884237.139328102,1153692.0789577789,24053.62688645322
49,-453008.0283559315,4020517.0445431,930518.6873507707,21084.985498571525
50,-459846.4541578451,4129848.268623406,730642.010414347,17974.387446889352
51,-445475.170577376,4215231.711007189,555886.0408535501,14872.76270447114
52,-416276.5868465691,4279810.615750536,406560.46151925426,11904.97463190901
53,-377552.1758868334,4326707.952757652,281844.9581340923,9167.21852510992
54,-333572.43467588804,4358906.9219989125,180123.72181379338,6726.873385319706
55,-287664.74437290605,4379168.714581843,99266.62099181903,4624.236558872735
56,-242322.660926969,4389981.155427359,36857.97700312134,2875.5886564053653
57,-199324.61267358912,4393532.251878134,-9623.696279773869,1477.0835938107791
58,-159853.21454359547,4391703.133990827,-42670.07338489184,409.025730655628
59,-124608.99080688963,4386075.458728097,-64645.7021909244,-359.8237837319815
60,-93914.40033188443,4377949.059553576,-77722.93985763358,-868.1874122121579
61,-67805.78419804652,4368366.312378513,-83843.17007044902,-1158.6531281351092
62,-46112.21131166521,4358140.369374886,-84698.74717638406,-1274.619348046654
63,-28521.22315472672,4347885.030864236,-81730.68444062615,-1257.8604358742734
64,-14632.179618990393,4338044.573448334,-76137.77919045939,-1146.718236873404
65,-3998.3500758882683,4328922.320928368,-68893.55863643125,-974.8849208099971
66,3840.901573922728,4320707.131186016,-60768.11530957254,-770.7146382463495
67,9336.407036876746,4313497.28641141,-52352.50710515318,-556.9836729503584
68,12912.570763630823,4307321.520207532,-44083.94973121277,-351.01069004683404
69,14956.539321810998,4302157.104407345,-36270.496377441166,-165.04788069111106
70,15811.99559769437,4297945.058333596,-29114.289567377065,-6.8585080525482
71,15776.549956394529,4294602.644708224,-22732.790090782546,119.59481484427782
72,15101.845495545089,4292033.38222187,-17177.64142483487,213.41565274734631
73,13995.629365990935,4290134.847084362,-12451.026159746687,276.0452163907328
74,12625.168730809111,4288804.5547815375,-8519.518826708967,310.57941574554036
75,11121.501499893277,4287944.215646265,-5325.546363325153,321.15924441950807
76,9584.108202697102,4287462.646727239,-2796.6400843438482,312.4515187105886
